gmttime,latitude,longitude,depth,mag,rms,place
2019-06-08T05:55:36.205Z,36.82554626,-97.50458527,3.806193829,1.58,0.444032097,"19km W of Blackwell, Oklahoma"
2019-06-08T05:53:17.718Z,61.7436,-149.7656,34.5,1.4,0.49,"12km NNE of Houston, Alaska"
2019-06-08T05:51:14.700Z,18.7896671,-155.2678375,7.99,2.17,0.13,"51km SSE of Pahala, Hawaii"
2019-06-08T05:45:46.700Z,34.0406667,-117.5121667,7.12,1.07,0.22,"4km NW of Glen Avon, CA"
2019-06-08T05:39:07.578Z,65.9371,-162.8812,2.5,1.5,0.53,"107km S of Kotzebue, Alaska"
2019-06-08T05:25:57.850Z,34.0376667,-117.5055,2.85,1.51,0.21,"4km NNW of Glen Avon, CA"
2019-06-08T05:14:35.971Z,61.3255,-149.9513,32.6,1.2,0.51,"12km NNW of Anchorage, Alaska"
2019-06-08T05:08:20.530Z,36.7739983,-121.492836,4.37,1.29,0.2,"9km SSE of San Juan Bautista, CA"
2019-06-08T04:54:39.748Z,60.5136,-143.228,0,1.4,0.74,"66km NW of Cape Yakataga, Alaska"
2019-06-08T04:48:04.054Z,34.32332611,-96.13122559,10,2.42,0.788378642,"6km S of Atoka, Oklahoma"
2019-06-08T04:46:47.427Z,68.5294,-146.8218,0,2,1.02,"69km NW of Arctic Village, Alaska"
2019-06-08T04:35:26.563Z,61.7266,-149.7261,34.9,2,0.43,"11km NNE of Houston, Alaska"
2019-06-08T04:29:33.650Z,34.0383333,-117.5023333,2.95,0.85,0.19,"3km NNW of Glen Avon, CA"
2019-06-08T04:18:34.400Z,37.6324997,-119.0366669,2.11,1.66,0.04,"5km W of Mammoth Lakes, CA"
2019-06-08T04:16:56.792Z,65.4122,-153.3903,10.3,1.1,0.53,"66km WNW of Tanana, Alaska"
2019-06-08T04:09:52.789Z,59.9297,-141.4179,1.7,1.6,0.66,"58km ESE of Cape Yakataga, Alaska"
2019-06-08T04:08:55.410Z,34.0291667,-117.7121667,27.64,1.11,0.17,"3km NW of Chino, CA"
2019-06-08T04:07:00.580Z,32.666,-116.0573333,8.33,1.06,0.13,"10km SW of Ocotillo, CA"
2019-06-08T04:06:14.430Z,37.6386681,-118.9749985,3.91,0.58,0.01,"0km ENE of Mammoth Lakes, CA"
2019-06-08T03:57:21.368Z,64.8709,-151.4312,8.5,1.3,0.82,"40km WSW of Manley Hot Springs, Alaska"
2019-06-08T03:52:58.506Z,-24.5944,178.4486,576.93,4.5,1.1,South of the Fiji Islands
2019-06-08T03:42:51.200Z,34.0358333,-117.5185,4.74,1.02,0.24,"4km NW of Glen Avon, CA"
2019-06-08T03:38:45.590Z,33.5013333,-116.7841667,3.41,0.44,0.21,"10km NE of Aguanga, CA"
2019-06-08T03:33:18.887Z,66.2159,-157.2003,5.9,0.8,0.49,"78km S of Kobuk, Alaska"
2019-06-08T03:26:49.210Z,33.1631667,-116.5266667,16.23,0.87,0.19,"12km NE of Julian, CA"
2019-06-08T03:21:31.586Z,63.0085,-150.7691,100.4,1.6,0.51,"83km NNW of Talkeetna, Alaska"
2019-06-08T03:18:47.147Z,59.8115,-153.3222,108.5,1.9,0.43,"81km SSW of Redoubt Volcano, Alaska"
2019-06-08T03:13:00.530Z,33.255,-116.7123333,4.67,1.25,0.19,"5km ENE of Lake Henshaw, CA"
2019-06-08T03:10:16.453Z,66.3161,-157.225,0,1.2,0.82,"67km SSW of Kobuk, Alaska"
2019-06-08T03:06:52.947Z,63.2778,-148.8107,6.8,0.8,0.23,"14km SSE of Cantwell, Alaska"
2019-06-08T03:03:43.800Z,37.3065,-116.3993,3.8,0.7,0.08,"54km NE of Beatty, Nevada"
2019-06-08T02:59:37.240Z,59.256,-153.5609,94.5,2.3,0.66,"94km SE of Old Iliamna, Alaska"
2019-06-08T02:38:47.060Z,38.8073349,-122.7748337,0.05,0.81,0.05,"4km NNW of The Geysers, CA"
2019-06-08T02:38:21.750Z,34.7631667,-119.2296667,9.55,1.7,0.17,"12km SW of Pine Mountain Club, CA"
2019-06-08T02:36:11.185Z,59.4951,-152.8332,75.1,1.6,0.41,"64km WSW of Anchor Point, Alaska"
2019-06-08T02:35:34.220Z,34.0385,-117.506,3.92,1.06,0.31,"4km NNW of Glen Avon, CA"
2019-06-08T02:33:32.839Z,60.3728,-152.5881,101.2,1.1,0.58,"15km SE of Redoubt Volcano, Alaska"
2019-06-08T02:22:05.043Z,60.3891,-151.8537,79.3,1.9,0.79,"30km W of Cohoe, Alaska"
2019-06-08T02:19:24.116Z,61.4027,-150.156,22.8,2.6,0.78,"16km SW of Big Lake, Alaska"
2019-06-08T01:55:38.982Z,69.1298,-144.3743,3.8,1.5,0.62,"115km SSW of Kaktovik, Alaska"
2019-06-08T01:49:20.920Z,34.0476667,-117.5008333,4.45,0.8,0.34,"4km NNW of Glen Avon, CA"
2019-06-08T01:47:00.060Z,33.9955,-116.3181667,8.91,0.96,0.25,"16km S of Joshua Tree, CA"
2019-06-08T01:44:55.005Z,58.6424,-151.2441,51.1,2.1,0.58,"112km S of Homer, Alaska"
2019-06-08T01:44:33.490Z,38.8061676,-122.7401657,1.69,2.01,0.05,"2km SW of Cobb, CA"
2019-06-08T01:42:33.970Z,17.9671,-66.6421,16,1.55,0.25,"5km SSW of Ponce, Puerto Rico"
2019-06-08T01:37:52.488Z,60.2318,-141.1376,0,1.5,1.25,"74km ENE of Cape Yakataga, Alaska"
2019-06-08T01:36:51.200Z,18.108,-66.8763,15,2.11,0.35,"8km NNW of Yauco, Puerto Rico"
2019-06-08T01:28:01.210Z,38.8154984,-122.8190002,1.66,1,0.05,"7km NW of The Geysers, CA"
2019-06-08T01:27:09.740Z,19.4493333,-154.8743333,2.16,2.21,0.12,"4km ESE of Leilani Estates, Hawaii"
2019-06-08T01:27:09.690Z,19.4326668,-154.9015045,-0.35,1.7,0.38,"4km SSE of Leilani Estates, Hawaii"
2019-06-08T01:15:55.870Z,18.5693,-66.5961,14,2.6,0.33,"13km N of Garrochales, Puerto Rico"
2019-06-08T01:12:04.856Z,61.1543,-140.5346,14.3,1,0.27,"159km NE of Cape Yakataga, Alaska"
2019-06-08T00:57:10.730Z,37.6013333,-119.006,2,0.32,0.05,"5km SSW of Mammoth Lakes, CA"
2019-06-08T00:42:38.828Z,37.2815,-115.0802,0,1.1,0.2025,"11km SE of Alamo, Nevada"
2019-06-08T00:34:57.760Z,18.9245,-67.7073,20,2.38,0.31,"80km NW of Aguadilla, Puerto Rico"
2019-06-08T00:23:00.520Z,36.0881667,-117.9425,11.59,1.31,0.18,"5km N of Coso Junction, CA"
2019-06-08T00:17:35.226Z,58.2921,-151.1926,19.5,2.5,0.69,"90km NE of Kodiak, Alaska"
2019-06-08T00:16:19.620Z,61.0728,-148.2888,0,1.6,1.27,"39km NNE of Whittier, Alaska"
2019-06-08T00:09:27.725Z,66.2551,-157.2264,2.8,1.3,0.88,"74km SSW of Kobuk, Alaska"
2019-06-08T00:04:45.510Z,18.9315,-68.0105,35,2.44,0.62,"56km NE of Punta Cana, Dominican Republic"
2019-06-08T00:00:00.399Z,39.3599,-120.0224,6.8,1.5,0.1644,"12km NNW of Incline Village, Nevada"
2019-06-07T23:55:11.440Z,36.013,-120.5716667,3.8,1.38,0.04,"18km NW of Parkfield, CA"
2019-06-07T23:53:32.360Z,33.8235,-117.6771667,8.09,1.07,0.14,"11km WSW of Corona, CA"
2019-06-07T23:52:08.781Z,59.6593,-139.0869,0,1.6,1.51,"38km ENE of Yakutat, Alaska"
2019-06-07T23:49:46.960Z,19.4056667,-155.2935,-0.01,1.97,0.11,"6km WSW of Volcano, Hawaii"
2019-06-07T23:37:04.414Z,61.5137,-149.9282,41.9,1.3,0.67,"1km ESE of Big Lake, Alaska"
2019-06-07T23:36:08.806Z,-47.7749,102.4927,10,5,1.46,Southeast Indian Ridge
2019-06-07T23:28:12.360Z,38.8165,-122.8216667,2.71,0.26,0.04,"7km NW of The Geysers, CA"
